id,gene,log2FC,pval,n_group1,n_group2,padj,neglog10_padj
Q61598,Gdi2,1.0633333333333326,0.0029167884401785,3,3,0.1521396850397134,0.8177574871585338
O89053,Coro1a,2.1166666666666636,0.001655954625802,3,3,0.1521396850397134,0.8177574871585338
Q01768,Nme2,0.7433333333333287,0.0019983770786186,3,3,0.1521396850397134,0.8177574871585338
Q6WVG3,Kctd12,1.129999999999999,0.0014603989579311,3,3,0.1521396850397134,0.8177574871585338
Q9R190,Mta2,1.493333333333334,0.0005625290329696,2,3,0.1521396850397134,0.8177574871585338
P62983,Rps27a,0.6700000000000053,0.0018664476828002,3,3,0.1521396850397134,0.8177574871585338
P06801,Me1,3.645000000000003,0.001532934008533,3,2,0.1521396850397134,0.8177574871585338
P10605,Ctsb,3.7033333333333367,0.0025802278504094,3,3,0.1521396850397134,0.8177574871585338
Q8CGC7,Eprs,1.5533333333333346,0.000496949987809,3,3,0.1521396850397134,0.8177574871585338
P17182,Eno1,1.4266666666666623,0.0024672183688489,3,3,0.1521396850397134,0.8177574871585338
O35744,Chil3,6.223333333333329,0.0028535481624767,3,3,0.1521396850397134,0.8177574871585338
P28661,Sept4,-1.3200000000000005,0.0011792099703392,3,3,0.1521396850397134,0.8177574871585338
Q8VDM4,Psmd2,1.4399999999999975,0.0011807054379315,3,3,0.1521396850397134,0.8177574871585338
P18760,Cfl1,1.2566666666666677,0.0028329293402471,3,3,0.1521396850397134,0.8177574871585338
P08113,Hsp90b1,1.5333333333333314,0.0013450704209089,3,3,0.1521396850397134,0.8177574871585338
Q9R0Q7,Ptges3,2.1366666666666667,0.0019450296122773,3,3,0.1521396850397134,0.8177574871585338
P01921,H2-Ab1,3.4299999999999997,0.0023647754504233,3,3,0.1521396850397134,0.8177574871585338
Q61233,Lcp1,2.086666666666659,0.0020637002252626,3,3,0.1521396850397134,0.8177574871585338
Q9EQU5,Set,1.6799999999999962,0.0017095396101386,3,3,0.1521396850397134,0.8177574871585338
P20029,Hspa5,1.3133333333333326,0.0024670724938981,3,3,0.1521396850397134,0.8177574871585338
Q05920,Pc,1.586666666666666,0.0015132540610618,3,3,0.1521396850397134,0.8177574871585338
P58252,Eef2,1.4666666666666686,0.0010610034067993,3,3,0.1521396850397134,0.8177574871585338
Q9DBG6,Rpn2,1.3933333333333309,0.0026357046857163,3,3,0.1521396850397134,0.8177574871585338
Q80UU9,Pgrmc2,1.6366666666666685,0.0025885377692123,3,3,0.1521396850397134,0.8177574871585338
P97425,Ear2,4.818333333333332,0.0003504960667632,3,2,0.1521396850397134,0.8177574871585338
Q9QZE5,Copg1,2.0233333333333334,0.0035863313749633,3,3,0.161949900626908,0.7906193141385139
